job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python
1,Business Analyst,MNC,Retail,Australia,Hybrid,Senior,9,PhD,1
2,AI Engineer,MNC,Finance,Singapore,Onsite,Senior,14,PhD,1
3,Data Engineer,MNC,Retail,UK,Hybrid,Entry,12,PhD,1
4,AI Engineer,MNC,Retail,India,Onsite,Senior,6,PhD,1
5,Data Analyst,MNC,Retail,Germany,Onsite,Senior,3,Bachelor,0
6,Data Scientist,Startup,Technology,Australia,Remote,Entry,13,Master,0
7,AI Engineer,MNC,E-commerce,Australia,Onsite,Mid,7,PhD,0
8,Data Analyst,MNC,Technology,Canada,Hybrid,Mid,11,Bachelor,0
9,Data Scientist,Startup,Retail,India,Onsite,Senior,3,Bachelor,1
10,Data Scientist,Startup,Finance,Germany,Onsite,Senior,2,Master,0
11,Business Analyst,MNC,Retail,Canada,Remote,Mid,12,Bachelor,1
12,Data Analyst,MNC,Education,Canada,Hybrid,Entry,12,Master,1
13,AI Engineer,MNC,Technology,Singapore,Onsite,Mid,9,Master,0
14,Data Analyst,Medium,E-commerce,UK,Hybrid,Senior,4,Master,1
15,Business Analyst,Enterprise,Healthcare,Australia,Remote,Mid,10,Master,0
16,Machine Learning Engineer,MNC,Finance,Singapore,Hybrid,Entry,12,Bachelor,1
17,Data Engineer,MNC,Retail,USA,Remote,Entry,13,PhD,0
18,Data Scientist,Startup,Healthcare,Australia,Onsite,Mid,2,Bachelor,0
19,Data Scientist,Medium,Healthcare,Singapore,Remote,Mid,0,PhD,0
20,Data Scientist,Medium,Retail,Australia,Remote,Mid,2,PhD,1
21,Data Scientist,Startup,Education,UK,Remote,Senior,3,PhD,1
22,Data Analyst,MNC,Technology,UK,Remote,Mid,2,Master,1
23,Data Scientist,Enterprise,Retail,Australia,Onsite,Mid,4,Bachelor,1
24,Machine Learning Engineer,MNC,Technology,Canada,Remote,Senior,3,Bachelor,0
25,Machine Learning Engineer,Startup,E-commerce,Singapore,Remote,Entry,3,Bachelor,1
26,Data Engineer,Startup,Finance,Singapore,Hybrid,Senior,4,PhD,0
27,Business Analyst,MNC,Finance,Germany,Onsite,Entry,12,Bachelor,0
28,Business Analyst,Enterprise,Finance,Australia,Hybrid,Mid,9,Master,1
29,Data Engineer,Startup,Finance,India,Onsite,Entry,9,Master,1
30,Data Analyst,MNC,Education,Canada,Hybrid,Mid,10,Bachelor,1
31,Business Analyst,Startup,Retail,India,Onsite,Entry,5,Bachelor,1
32,AI Engineer,Startup,Healthcare,Australia,Remote,Mid,13,Bachelor,0
33,Data Engineer,Medium,Technology,UK,Remote,Senior,1,Master,0
34,Data Analyst,Startup,Retail,USA,Onsite,Entry,8,PhD,0
35,Machine Learning Engineer,Enterprise,Healthcare,India,Remote,Entry,7,Master,1
36,Data Analyst,Medium,Technology,UK,Hybrid,Senior,4,PhD,0
37,Data Analyst,Medium,Finance,Germany,Remote,Entry,5,Bachelor,1
38,AI Engineer,Medium,Finance,Canada,Onsite,Mid,4,PhD,1
39,Business Analyst,Medium,Education,Canada,Hybrid,Mid,14,Bachelor,0
40,Data Scientist,Enterprise,Retail,Germany,Remote,Mid,14,Master,0
41,Machine Learning Engineer,MNC,Finance,Singapore,Onsite,Entry,0,Bachelor,1
42,Data Scientist,MNC,Technology,Canada,Onsite,Senior,2,PhD,1
43,Business Analyst,Startup,Technology,USA,Hybrid,Senior,14,Master,0
44,Data Scientist,MNC,E-commerce,Australia,Onsite,Entry,10,Bachelor,1
45,AI Engineer,Startup,E-commerce,UK,Hybrid,Mid,2,Bachelor,1
46,Data Analyst,MNC,Healthcare,Australia,Remote,Entry,5,PhD,1
47,Data Engineer,MNC,Technology,Germany,Hybrid,Mid,6,Bachelor,1
48,AI Engineer,Startup,E-commerce,Australia,Onsite,Senior,2,Bachelor,1
49,Machine Learning Engineer,Medium,E-commerce,Canada,Remote,Mid,11,PhD,0
50,Machine Learning Engineer,Startup,Finance,India,Hybrid,Entry,14,Master,1
51,Machine Learning Engineer,MNC,Healthcare,Canada,Hybrid,Senior,2,Bachelor,0
